82087|0
90878|95
57223|258
53692|411
64454|504
74241|636
41739|766
17243|820
12695|967
49533|1100
80349|1159
54173|1220
15061|1346
3526|1418
6293|1570
85313|1726
99831|1881
46346|2024
55568|2156
96066|2299
102576|2378
93176|2478
97888|2515
102577|2591
27025|2667
45753|2779
55262|2891
102690|2947
72545|3025
87447|3171
57424|3280
93972|3388
20577|3498
78775|3595
23720|3769
63440|3881
43146|3999
46560|4154
37599|4278
15345|4381
84762|4572
83139|4665
55519|4791
38052|4876
76190|4936
81122|5069
15785|5286
84905|5443
80119|5621
102150|5754
30373|5819
43607|5953
50423|6083
59165|6265
94534|6358
89334|6478
59095|6595
62799|6703
90888|6853
57957|6962
72699|7101
43246|7182
91209|7402
77860|7498
84709|7586
30378|7710
40918|7934
75266|8005
78809|8089
16433|8160
98591|8449
99113|8568
18602|8629
91275|8719
57363|8833
58270|8970
69096|9154
56339|9320
49318|9518
4300|9648
97186|9784
90571|9831
97546|9944
97732|10109
93926|10229
92830|10370
51084|10533
73334|10660
75293|10802
9768|10881
80496|11014
77616|11171
23798|11232
96939|11415
30669|11517
86640|11630
46832|11729
5294|11851
49691|12001
41769|12149
77287|12307
17086|12413
84760|12571
80067|12730
102394|12838
89996|12964
40219|13032
51592|13152
58119|13232
22746|13363
62286|13470
53220|13580
24188|13664
93866|13766
47572|13897
78490|14061
21977|14169
93674|14253
57547|14443
97449|14644
90540|14715
1903|14801
91226|14970
97838|15020
39905|15115
85645|15318
99623|15362
100506|15452
72370|15549
95490|15633
76147|15735
85630|15906
54608|16035
60425|16131
32657|16250
61253|16371
85153|16422
69140|16547
56557|16648
68104|16720
98862|16842
100070|16962
219|17052
60243|17148
40984|17299
45376|17425
102654|17478
20129|17582
70997|17658
61361|17794
89923|17953
36099|18122
59424|18242
55726|18352
47724|18445
9094|18568
75824|18637
883|18688
31056|18738
67889|18855
60982|18937
80259|19040
95332|19219
41952|19335
28961|19456
59877|19541
52274|19593
92629|19733
18942|19889
15380|19971
28495|20031
72918|20161
54181|20215
28691|20327
86894|20493
89123|20588
74211|20714
82546|20864
86682|21049
70485|21158
20261|21301
77568|21393
55460|21574
86886|21758
28060|21893
8026|22020
84651|22141
26287|22326
59194|22435
2700|22534
8705|22697
11377|22859
9731|23012
94800|23179
65447|23274
39579|23401
94924|23503
101693|23684
92579|23824
102874|23925
76648|24005
71383|24123
101694|24193
12336|24333
95755|24418
67671|24519
96415|24674
67000|24816
100328|24945
39956|25075
51461|25204
39927|25328
81488|25459
39938|25625
21379|25746
4663|25862
46469|25973
30605|26036
25550|26149
71390|26254
27966|26393
7048|26544
2799|26707
51878|26831
14168|26933
53710|26998
3121|27177
81866|27269
92774|27380
101844|27463
19328|27673
26261|27752
78486|27830
85775|27935
48134|28030
75802|28112
60967|28216
60966|28282
60965|28334
51120|28384
99242|28492
2907|28667
83586|28812
49963|28887
86172|28928
86173|29049
92472|29166
93771|29236
100641|29297
66347|29396
84491|29534
76438|29794
90519|29897
59607|30127
81719|30174
49219|30232
64037|30350
78835|30502
87673|30639
52993|30809
101168|30901
45186|31014
21688|31142
85727|31306
87336|31385
58942|31470
75004|31543
62401|31596
68001|31791
93123|31923
89835|32004
66022|32153
52564|32295
21529|32388
94422|32524
42550|32650
86350|32805
55985|32979
5382|33157
7343|33263
100692|33357
101591|33470
93192|33627
41905|33705
39581|33851
23793|33983
80631|34065
84320|34195
6555|34349
18060|34454
49166|34573
66404|34698
4940|34855
51411|34946
46610|35066
81146|35182
98629|35377
32436|35484
83575|35649
23121|35752
29726|35918
11145|36045
12876|36134
51871|36329
90462|36494
29814|36648
13741|36786
56271|36848
1469|36895
90758|36983
59044|37078
99381|37132
65969|37207
17087|37267
94174|37352
45281|37486
51824|37579
100273|37707
42223|37829
23089|37936
38290|38135
60806|38208
74851|38315
97408|38486
79834|38657
74048|38807
37319|38909
99971|39038
93900|39126
101907|39216
93347|39277
12191|39416
37439|39525
86826|39612
92111|39659
21867|39939
45035|39978
31659|40076
43259|40239
51526|40365
66030|40491
67554|40638
81314|40841
72979|40941
25470|41109
20664|41288
95050|41411
53637|41555
40058|41656
58924|41774
43362|41921
50470|42025
30344|42118
82558|42216
28687|42323
57633|42450
25736|42513
18702|42590
42717|42707
13309|42815
60591|42906
78817|43034
70127|43171
91765|43308
81795|43445
43568|43599
102569|43665
22158|43765
1411|43887
76158|43976
77004|44066
76467|44198
26360|44267
31947|44366
46027|44479
100955|44520
102644|44623
37866|44725
33395|44813
69449|44922
3087|45013
47461|45156
94641|45391
96500|45483
94840|45588
100910|45721
81563|45868
83033|46015
39944|46142
74939|46263
14970|46425
40370|46741
42841|46855
47818|46917
84825|47000
55317|47099
2627|47178
32313|47303
84300|47441
54262|47555
11513|47671
89709|47765
44341|47868
101211|47967
40719|48082
